Id,Title,Name in Hebrew,Name in German,Pseudonym,Gender,Date of birth,Place of birth,Date of death,Place of death,Occupation,VIAF ID
person1043,זלמן שווייצר,זלמן שווייצר,זלמן שווייצר,,,,,,,,
person1044,"זלמן שרד""פ","זלמן שרד""פ","זלמן שרד""פ",,,,,,,,
person1045,"זנוויל אשר, פ""ומ","זנוויל אשר, פ""ומ","זנוויל אשר, פ""ומ",,,,,,,,
person1046,זנוויל בר''נ,זנוויל בר''נ,זנוויל בר''נ,,,,,,,,
person1047,"זנוויל בר""א פ""פ","זנוויל בר""א פ""פ","זנוויל בר""א פ""פ",,,,,,,,
person1048,"זנוויל בר""א פ""פ","זנוויל בר""א פ""פ","זנוויל בר""א פ""פ",,,,,,,,
person1049,"זנוויל בר""ה בר""ן","זנוויל בר""ה בר""ן","זנוויל בר""ה בר""ן",,,,,,,,
person1050,"זנוויל בר""נ","זנוויל בר""נ","זנוויל בר""נ",,,,,,,,
person1051,"זנוויל בר""נ באמבורג","זנוויל בר""נ באמבורג","זנוויל בר""נ באמבורג",,,,,,,,
person1052,זנוויל הכהן,זנוויל הכהן,זנוויל הכהן,,,,,,,,268464124
person1053,זנוויל וויינשענק,זנוויל וויינשענק,זנוויל וויינשענק,,,,,,,,
person1054,זנוויל נייא גאס,"זנוויל נייא גאס (יושב בבה""מ [מפרנקפורט דאודר])",זנוויל נייא גאס,,,,,,,,
person1055,זנוויל נייאגאס,זנוויל נייאגאס (רב ודיין [הסכמת רבני יושבי על מדין]),זנוויל נייאגאס,,,,,,,,
person1056,זנוויל נייאגאס,זנוויל נייאגאס (רב ודיין (הסכמת רבני יושבי על מדין)),זנוויל נייאגאס,,,,,,,,
person1057,זנוויל עטהויסען,זנוויל עטהויסען,זנוויל עטהויסען,,,,,,,,
person1058,"זנוויל פ""ל בק""ב","זנוויל פ""ל בק""ב","זנוויל פ""ל בק""ב",,,,,,,,
person1059,זנוויל פייאגס,זנוויל פייאגס,,,,,,,,,
person1060,זעליג בער הארשיטץ,זעליג בער הארשיטץ,זעליג בער הארשיטץ,,,,,,,,
person1061,זעליג ליגניץ,זעליג ליגניץ,זעליג ליגניץ,,,,,,,,
person1062,"זעליג ליפשיץ בק""ב","זעליג ליפשיץ בק""ב","זעליג ליפשיץ בק""ב",,,,,,,,
person1063,זעליג שטיינבאך,זעליג שטיינבאך,זעליג שטיינבאך,,,,,,,,
person1064,זעליגמן אולמאן,זעליגמן אולמאן,זעליגמן אולמאן,,,,,,,,
person1065,"זעליגמן בר""י בק""ב","זעליגמן בר""י בק""ב","זעליגמן בר""י בק""ב",,,,,,,,
person1066,זעליגמן דיטלבאך,זעליגמן דיטלבאך,זעליגמן דיטלבאך,,,,,,,,
person1067,"זעליגמן עטטלינגען, פ""ומ","זעליגמן עטטלינגען, פ""ומ","זעליגמן עטטלינגען, פ""ומ",,,,,,,,
person1068,זעקל רעגענסבורג,זעקל רעגענסבורג,זעקל רעגענסבורג,,,,,,,,
person1069,"זק""ש, יואל בן יקותיאל","זק""ש, יואל בן יקותיאל (דיין דק""ק ברלין [מגלוגא])","זק""ש, יואל בן יקותיאל",,,,,,,,308277296
person1070,"חיאן, צדוק","חיאן, צדוק","חיאן, צדוק",,,,,,,,
person1071,"חיוס, טיבאל","חיוס, טיבאל","חיוס, טיבאל",,,,,,,,
person1072,"חיט, משה אברהם בן ראובן",,,,,,,,,,97221800
